name,height,weight,reach,stance
Ricky Glenn,182.88,70.31,177.8,Southpaw
Alexander Hernandez,175.26,65.77,182.88,Orthodox
Bill Algeo,182.88,65.77,185.42,Switch
Karolina Kowalkiewicz,160.02,52.16,162.56,Orthodox
Nate Maness,177.8,56.7,182.88,Orthodox
Vanessa Demopoulos,157.48,52.16,149.86,Orthodox
Kanako Murata,154.94,52.16,157.48,Orthodox
Aoriqileng,170.18,61.23,175.26,Orthodox
Johnny Munoz,175.26,61.23,180.34,Orthodox
Montana De La Rosa,170.18,56.7,172.72,Orthodox
JJ Aldrich,165.1,56.7,170.18,Southpaw
Rafael Fiziev,172.72,70.31,180.34,Switch
Marina Rodriguez,167.64,52.16,165.1,Orthodox
Michelle Waterson-Gomez,160.02,52.16,157.48,Orthodox
Bryan Battle,185.42,77.11,195.58,Orthodox
AJ Fletcher,177.8,77.11,170.18,Switch
Tim Means,187.96,77.11,190.5,Orthodox
Andre Fialho,182.88,77.11,187.96,Orthodox
Jacob Malkoun,175.26,83.91,185.42,Orthodox
Jake Collier,190.5,104.33,198.12,Orthodox
Mizuki,160.02,52.16,165.1,Orthodox
Hannah Goldy,162.56,52.16,154.94,Orthodox
Tamires Vidal,167.64,61.23,172.72,Orthodox
Raul Rosas Jr.,175.26,61.23,170.18,Switch
Terrence Mitchell,177.8,61.23,187.96,Orthodox
Christos Giagos,177.8,70.31,180.34,Orthodox
Kyle Nelson,180.34,65.77,180.34,Switch
Elise Reed,160.02,52.16,160.02,Orthodox
Josh Fremd,193.04,83.91,193.04,Orthodox
Tracy Cortez,165.1,56.7,165.1,Orthodox
Alex Reyes,180.34,70.31,185.42,Orthodox
Charlie Campbell,182.88,70.31,182.88,Orthodox
Josefine Knutsson,160.02,52.16,152.4,Orthodox
Marnic Mann,152.4,52.16,162.56,Southpaw
Israel Adesanya,193.04,83.91,203.2,Switch
Alexander Volkov,200.66,113.4,203.2,Orthodox
Manel Kape,165.1,56.7,172.72,Southpaw
Austen Lane,198.12,111.13,203.2,Orthodox
Anton Turkalj,193.04,92.99,198.12,Orthodox
Carlos Ulberg,193.04,92.99,195.58,Orthodox
Da Woon Jung,193.04,92.99,198.12,Orthodox
Jack Jenkins,170.18,65.77,172.72,Switch
Chepe Mariscal,170.18,65.77,175.26,Orthodox
John Makdessi,172.72,70.31,172.72,Orthodox
Blood Diamond,180.34,77.11,193.04,Switch
Shane Young,172.72,65.77,182.88,Orthodox
Gabriel Miranda,180.34,65.77,180.34,Orthodox
Kiefer Crosbie,180.34,77.11,177.8,Switch
Ciryl Gane,193.04,111.13,205.74,Orthodox
Serghei Spivac,190.5,117.93,198.12,Orthodox
Manon Fiorot,170.18,56.7,165.1,Orthodox
Volkan Oezdemir,187.96,92.99,190.5,Orthodox
William Gomis,182.88,65.77,185.42,Southpaw
Yanis Ghemmouri,175.26,61.23,175.26,Orthodox
Morgan Charriere,172.72,65.77,175.26,Orthodox
Manolo Zecchini,172.72,65.77,172.72,Orthodox
Caolan Loughran,167.64,61.23,172.72,Orthodox
Ange Loosa,177.8,77.11,187.96,Orthodox
Rhys McKee,187.96,77.11,198.12,Orthodox
Nora Cornolle,170.18,61.23,170.18,Orthodox
Joselyne Edwards,172.72,61.23,177.8,Orthodox
Kleydson Rodrigues,165.1,61.23,170.18,Orthodox
Zarah Fairn,172.72,61.23,182.88,Orthodox
Jacqueline Cavalcanti,172.72,61.23,177.8,Orthodox
Max Holloway,180.34,65.77,175.26,Orthodox
Chan Sung Jung,170.18,65.77,182.88,Orthodox
Ryan Spann,195.58,92.99,200.66,Orthodox
Giga Chikadze,182.88,65.77,187.96,Orthodox
Alex Caceres,177.8,65.77,185.42,Southpaw
Erin Blanchfield,162.56,56.7,167.64,Orthodox
Taila Santos,167.64,56.7,172.72,Orthodox
Parker Porter,182.88,120.2,190.5,Orthodox
Lukasz Brzeski,193.04,107.05,198.12,Orthodox
Toshiomi Kazama,170.18,61.23,175.26,Orthodox
Chidi Njokuani,190.5,77.11,203.2,Orthodox
Rolando Bedoya,180.34,77.11,187.96,Orthodox
Billy Goff,177.8,77.11,182.88,Switch
Yusaku Kinoshita,182.88,77.11,180.34,Southpaw
Liang Na,165.1,56.7,170.18,Orthodox
SeungWoo Choi,182.88,65.77,187.96,Orthodox
Aljamain Sterling,170.18,65.77,180.34,Orthodox
Zhang Weili,162.56,52.16,160.02,Switch
Da'Mon Blackshear,177.8,61.23,182.88,Switch
Chris Weidman,187.96,83.91,198.12,Orthodox
Austin Hubbard,177.8,70.31,180.34,Orthodox
Karine Silva,165.1,56.7,170.18,Orthodox
Vicente Luque,180.34,77.11,190.5,Orthodox
Cub Swanson,172.72,65.77,177.8,Orthodox
Hakeem Dawodu,172.72,65.77,185.42,Orthodox
Chris Daukaus,190.5,92.99,193.04,Orthodox
Iasmin Lucindo,160.02,52.16,167.64,Orthodox
Tafon Nchukwi,182.88,83.91,195.58,Orthodox
JP Buys,165.1,61.23,170.18,Orthodox
Francis Marshall,175.26,65.77,182.88,Orthodox
Juliana Miller,170.18,56.7,167.64,Orthodox
Cory Sandhagen,180.34,61.23,177.8,Switch
Tatiana Suarez,165.1,52.16,167.64,Southpaw
Gavin Tucker,167.64,65.77,167.64,Southpaw
Tanner Boser,187.96,92.99,190.5,Orthodox
Aleksa Camur,185.42,92.99,187.96,Orthodox
Ignacio Bahamondes,190.5,70.31,190.5,Orthodox
Carlston Harris,182.88,77.11,193.04,Orthodox
Damon Jackson,180.34,65.77,180.34,Switch
Jake Hadley,170.18,56.7,177.8,Southpaw
Justin Gaethje,180.34,70.31,177.8,Orthodox
Jan Blachowicz,187.96,92.99,198.12,Orthodox
Michael Chiesa,185.42,77.11,190.5,Southpaw
Vinicius Salvador,170.18,56.7,177.8,Southpaw
Jai Herbert,185.42,70.31,195.58,Orthodox
Lerone Murphy,175.26,65.77,185.42,Orthodox
Davey Grant,172.72,61.23,175.26,Orthodox
Daniel Marcos,170.18,61.23,175.26,Orthodox
Danny Roberts,185.42,77.11,187.96,Southpaw
