name,height,weight,reach,stance
Wellington Turman,182.88,77.11,182.88,1
Jared Gooden,182.88,77.11,195.58,1
Veronica Hardy,162.56,56.7,162.56,3
Jamey-Lyn Horth,170.18,56.7,167.64,1
Brendan Allen,187.96,83.91,190.5,1
Paul Craig,190.5,83.91,193.04,1
Michael Morales,182.88,77.11,200.66,1
Jake Matthews,180.34,77.11,185.42,1
Chase Hooper,185.42,70.31,187.96,3
Jordan Leavitt,175.26,70.31,180.34,3
Nick Aguirre,175.26,61.23,187.96,3
Luana Pinheiro,157.48,52.16,157.48,1
Uros Medic,185.42,77.11,180.34,3
Myktybek Orolbai,177.8,70.31,187.96,1
Jonathan Pearce,182.88,65.77,180.34,4
Joanderson Brito,172.72,65.77,182.88,1
Jose Johnson,182.88,56.7,180.34,1
Denis Tiuliulin,185.42,83.91,195.58,1
Caio Machado,193.04,113.4,198.12,3
Jeka Saragih,172.72,65.77,175.26,1
Lucas Alexander,180.34,65.77,185.42,1
Lucie Pudilova,172.72,61.23,170.18,1
Ailin Perez,165.1,61.23,167.64,4
Rafael Estevam,172.72,56.7,175.26,1
Jiri Prochazka,190.5,92.99,203.2,1
Alex Pereira,193.04,92.99,200.66,1
Sergei Pavlovich,190.5,116.57,213.36,3
Tom Aspinall,195.58,116.12,198.12,1
Jessica Andrade,154.94,52.16,157.48,1
Matt Frevola,175.26,70.31,180.34,1
Diego Lopes,180.34,65.77,182.88,1
Pat Sabatini,172.72,65.77,177.8,1
Alessandro Costa,162.56,56.7,170.18,1
Tabatha Ricci,154.94,52.16,154.94,1
Loopy Godinez,157.48,52.16,154.94,1
Mateusz Rebecki,170.18,70.31,167.64,3
Roosevelt Roberts,187.96,70.31,185.42,1
Jared Gordon,175.26,70.31,172.72,1
Mark Madsen,172.72,70.31,182.88,1
John Castaneda,167.64,61.23,180.34,4
Kyung Ho Kang,175.26,61.23,185.42,1
Kevin Borjas,165.1,56.7,172.72,1
Dennis Buzukja,175.26,65.77,177.8,4
Jamall Emmers,177.8,65.77,187.96,1
Derrick Lewis,190.5,117.93,200.66,1
Gabriel Bonfim,185.42,77.11,182.88,1
Nicolas Dalby,180.34,77.11,187.96,1
Rodrigo Nascimento,187.96,111.58,203.2,1
Don'Tale Mayes,198.12,117.93,205.74,1
Caio Borralho,177.8,83.91,190.5,3
Abus Magomedov,187.96,83.91,198.12,1
Elves Brener,177.8,70.31,182.88,1
Kaynan Kruschewsky,182.88,70.31,185.42,1
Modestas Bukauskas,190.5,92.99,198.12,4
Angela Hill,160.02,52.16,162.56,1
Denise Gomes,157.48,52.16,160.02,1
Eduarda Moura,167.64,52.16,167.64,1
Montserrat Conejo Ruiz,152.4,52.16,154.94,3
Kaue Fernandes,175.26,70.31,185.42,1
Marc Diakiese,177.8,70.31,185.42,1
Islam Makhachev,177.8,70.31,177.8,3
Kamaru Usman,182.88,77.11,193.04,4
Khamzat Chimaev,187.96,83.91,190.5,1
Ikram Aliskerov,182.88,83.91,193.04,3
Warlley Alves,180.34,83.91,182.88,1
Said Nurmagomedov,172.72,61.23,177.8,1
Muin Gafurov,170.18,61.23,172.72,3
Mohammad Yahya,175.26,65.77,185.42,4
